Index, Torque, Thrust,Voltage,Current,RPM,Mech. Power,Elec. Power,Motor Eff,Prop Eff,System Eff
138,-0.00027,7.66845,12,0.33324,4716,-0.13302,3.99887,-3.32637,-5765.0015,191.76508
139,-0.00174,3.64802,12,0.35398,4716,-0.86059,4.24771,-20.25998,-423.89957,85.88198
140,-0.00024,-2.80766,12,0.31398,4737,-0.11678,3.76781,-3.09943,2404.2205,-74.51701
141,0.00318,856.03711,12,0.34213,4737,1.57916,4.10552,38.46445,54208.23,20850.9
142,0.00039,282.27197,12,0.34953,4737,0.19128,4.19437,4.56049,147567.03,6729.7754
143,-0.00031,-4.95308,12,0.33324,4737,-0.15188,3.99887,-3.79817,3261.0955,-123.86179
144,-0.00249,-3.08778,12,0.34065,4737,-1.23548,4.08777,-30.22383,249.92525,-75.53698
145,-0.00007,7.2847,12,0.32287,4707,-0.03332,3.87448,-0.85996,-21863.496,188.01758
146,-0.00028,15.60567,12,0.35694,4707,-0.13774,4.28326,-3.21575,-11329.905,364.34097
147,0.00002,3.66907,12,0.34361,4707,0.00855,4.12331,0.20735,42913.734,88.98358
148,-0.00021,0.97475,12,0.35101,4707,-0.10357,4.21218,-2.45873,-941.18402,23.14119
149,-0.00032,2.72508,12,0.33472,4707,-0.15723,4.01666,-3.91441,-1733.198,67.84452
150,-0.00031,7.61663,12,0.31102,4742,-0.15635,3.73229,-4.18923,-4871.3887,204.07391
151,-0.00038,10.82909,12,0.37619,4742,-0.18933,4.51429,-4.19394,-5719.7935,239.8847
152,-0.0003,1.38926,12,0.33176,4742,-0.14937,3.98108,-3.75212,-930.04907,34.89652
153,-0.0003,-0.02105,12,0.35101,4742,-0.14935,4.21214,-3.5457,14.09402,-0.49973
154,-0.00029,4.88021,12,0.31991,4742,-0.1452,3.83894,-3.78241,-3360.9268,127.12408
155,-0.0023,6.12375,12,0.35842,4703,-1.13272,4.30106,-26.33583,-540.62292,142.37753
156,-0.00032,9.56451,12,0.31991,4703,-0.15854,3.83892,-4.12993,-6032.6895,249.14574
157,-0.00037,-0.53919,12,0.35694,4703,-0.18208,4.28325,-4.25106,296.121,-12.58827
158,-0.00033,10.47611,12,0.36879,4703,-0.16451,4.42543,-3.71739,-6368.0527,236.72514
159,-0.00223,16.16591,12,0.35101,4703,-1.09743,4.21218,-26.05385,-1473.0646,383.79007
160,-0.00028,4.40417,12,0.32732,4718,-0.13655,3.92782,-3.47657,-3225.2397,112.12775
161,-0.0003,4.53857,12,0.37175,4718,-0.14747,4.46098,-3.30568,-3077.7156,101.73933
162,-0.00028,9.35725,12,0.34509,4718,-0.13779,4.14104,-3.32742,-6790.9526,225.96356
163,-0.0003,4.39446,12,0.33176,4718,-0.15055,3.98111,-3.78165,-2918.9004,110.38268
164,-0.00258,1.34716,12,0.34805,4718,-1.27493,4.17661,-30.52536,-105.66566,32.25483
165,-0.00037,1.33744,12,0.34213,4741,-0.18147,4.10552,-4.42008,-737.01813,32.57676
166,-0.00029,3.42943,12,0.35249,4741,-0.14337,4.22992,-3.38949,-2391.9692,81.07547
167,-0.00145,2.28952,12,0.34953,4741,-0.71831,4.19439,-17.12556,-318.73618,54.58535
168,-0.00028,10.00978,12,0.32583,4741,-0.14037,3.91002,-3.58992,-7131.1724,256.00354
169,-0.00033,2.24904,12,0.36434,4741,-0.16495,4.37212,-3.77271,-1363.4918,51.4406
170,-0.00029,4.24873,12,0.3288,4678,-0.14345,3.94559,-3.63563,-2961.8848,107.68321
171,-0.00027,15.85503,12,0.31547,4678,-0.1338,3.78561,-3.5344,-11849.94,418.82382
172,-0.00116,11.87508,12,0.34509,4678,-0.56647,4.14108,-13.67941,-2096.3113,286.76294
173,-0.00031,7.71054,12,0.31102,4678,-0.1521,3.73228,-4.07521,-5069.4453,206.59045
174,-0.00242,8.09267,12,0.35398,4678,-1.18763,4.24771,-27.95931,-681.41229,190.5182
175,-0.00033,7.95828,12,0.35249,4696,-0.16219,4.22993,-3.83438,-4906.7168,188.1423
176,-0.00035,-1.56413,12,0.34065,4696,-0.1715,4.08776,-4.19542,912.0376,-38.26378
177,-0.00029,0.37241,12,0.34805,4696,-0.14297,4.17659,-3.42322,-260.47577,8.91665
178,-0.00002,6.62245,12,0.32436,4696,-0.008,3.89227,-0.20566,-82731.844,170.14362
179,-0.00255,-2.28952,12,0.32732,4696,-1.25236,3.9278,-31.88457,182.81631,-58.2902
180,-0.0003,8.41489,12,0.32732,4682,-0.1483,3.9278,-3.7757,-5674.1597,214.23917
181,-0.00142,8.74682,12,0.34213,4682,-0.69399,4.10554,-16.90364,-1260.3754,213.04926
182,-0.00029,4.06253,12,0.29325,4682,-0.14279,3.519,-4.05774,-2845.0654,115.44546
183,-0.00151,8.02143,12,0.33768,4682,-0.74258,4.0522,-18.32548,-1080.2032,197.95245
184,-0.00031,9.11923,12,0.36879,4682,-0.15144,4.42545,-3.42193,-6021.8433,206.06352
185,-0.0003,20.40493,12,0.34805,4766,-0.14852,4.17661,-3.55595,-13738.998,488.55203
186,-0.00033,10.73518,12,0.3362,4766,-0.16438,4.03442,-4.07452,-6530.5703,266.08966
187,-0.00027,8.45537,12,0.34065,4766,-0.13379,4.08774,-3.27292,-6319.9507,206.8468
188,-0.00029,3.9168,12,0.36138,4766,-0.14439,4.33657,-3.3296,-2712.6445,90.32032
189,-0.00028,8.34202,12,0.3288,4766,-0.13876,3.94556,-3.5168,-6011.9438,211.42802
190,-0.00167,15.09887,12,0.33472,4727,-0.8257,4.01664,-20.55693,-1828.6215,375.90836
191,-0.00028,10.43563,12,0.34953,4727,-0.14072,4.1944,-3.35484,-7416.1255,248.7989
192,-0.00029,21.27443,12,0.33916,4727,-0.14263,4.06995,-3.50451,-14915.614,522.71912
193,-0.00028,18.2077,12,0.28733,4727,-0.13775,3.4479,-3.99531,-13217.488,528.08014
194,-0.00027,13.8861,12,0.34213,4727,-0.13302,4.1055,-3.23997,-10439.349,338.23132
195,-0.0003,5.59589,12,0.30214,4697,-0.14843,3.62564,-4.09387,-3770.0789,154.34209
196,-0.00032,6.34234,12,0.31991,4697,-0.15682,3.83893,-4.085,-4044.3347,165.21094
197,-0.00031,2.63279,12,0.35842,4697,-0.15338,4.30102,-3.56621,-1716.4763,61.21312
198,-0.00032,-6.00069,12,0.35102,4697,-0.15572,4.21218,-3.6969,3853.51,-142.46034
199,-0.00184,16.43469,12,0.33472,4697,-0.90525,4.01665,-22.53746,-1815.4858,409.16446
200,-0.00257,11.73097,12,0.37471,4749,-1.27681,4.49652,-28.39551,-918.77179,260.88995
201,0.00531,18.15589,12,-0.12145,4749,2.64293,-1.45743,-181.3412,686.96112,-1245.7435
202,0.00165,15.41947,12,-0.12145,2819,0.48807,-1.45743,-33.48864,3159.2437,-1057.9875
203,-0.00012,13.56551,12,-0.15108,2819,-0.03446,-1.8129,1.90093,-39363.668,-748.27466
204,-0.00013,16.9334,12,-0.16144,0,0,-1.93732,0,#NAME?, NAN
205,-0.00018,17.43049,12,-0.17477,0,0,-2.09727,0,#NAME?, NAN
206,-0.00012,16.86054,12,-0.15404,0,0,-1.84843,0,#NAME?, NAN
207,-0.00013,20.49722,12,-0.157,0,0,-1.884,0,#NAME?, NAN
208,-0.00011,19.6682,12,-0.16737,0,0,-2.00842,0,#NAME?, NAN
209,-0.00011,19.20188,12,-0.16292,0,0,-1.95509,0,#NAME?, NAN
210,-0.00012,16.05257,12,-0.14515,0,0,-1.74181,0,#NAME?, NAN
211,-0.0001,15.58624,12,-0.15996,0,0,-1.91955,0,#NAME?, NAN
212,-0.00015,16.29059,12,-0.15552,0,0,-1.86621,0,#NAME?, NAN
213,-0.00013,8.89093,12,-0.15108,0,0,-1.8129,0,#NAME?, NAN
214,-0.00014,12.68467,12,-0.14959,0,0,-1.79513,0,#NAME?, NAN
215,-0.00013,13.45054,12,-0.16292,0,0,-1.95507,0,#NAME?, NAN
216,-0.00011,9.00589,12,-0.16292,0,0,-1.95509,0,#NAME?, NAN
217,-0.00013,16.37317,12,-0.16441,0,0,-1.97286,0,#NAME?, NAN
218,-0.00018,13.59627,12,-0.16144,0,0,-1.93733,0,#NAME?, NAN
219,-0.00862,9.04637,12,-0.16144,0,0,-1.93731,0,#NAME?, NAN
220,-0.00014,13.49264,12,-0.15996,0,0,-1.91955,0,#NAME?, NAN
221,-0.00014,16.01047,12,-0.16144,0,0,-1.9373,0,#NAME?, NAN
222,-0.00015,6.02012,12,-0.15256,0,0,-1.83068,0,#NAME?, NAN
223,-0.00015,12.55999,12,-0.15996,0,0,-1.91953,0,#NAME?, NAN
224,-0.00012,17.12932,12,-0.157,0,0,-1.884,0,#NAME?, NAN
225,-0.00011,21.19185,12,-0.15848,0,0,-1.90176,0,#NAME?, NAN
226,-0.00469,-47.50356,12,-0.15404,0,0,-1.84844,0, INF, NAN
227,-0.00015,0.56024,12,-0.15996,0,0,-1.91955,0,#NAME?, NAN
228,-0.00014,21.5335,12,-0.15256,0,0,-1.83067,0,#NAME?, NAN
229,-0.00014,31.07858,12,-0.16292,0,0,-1.95509,0,#NAME?, NAN
230,-0.00016,25.27543,12,-0.15404,0,0,-1.84847,0,#NAME?, NAN
231,-0.00011,15.46157,12,-0.15108,0,0,-1.8129,0,#NAME?, NAN
232,-0.00297,6.46701,12,0.34361,0,0,4.12328,0,#NAME?, NAN
233,-0.00051,-10.8809,12,0.17477,0,0,2.09719,0, INF, NAN
234,0.00002,6.76656,12,0.1718,0,0,2.06163,0, INF, NAN
235,-0.00023,20.2592,12,0.21327,3291,-0.07948,2.55927,-3.10549,-25490.383,791.60236
236,-0.00024,2.55993,12,0.15255,3291,-0.08428,1.83057,-4.60394,-3037.4622,139.84283
237,-0.01254,24.96454,12,0.13922,3291,-4.32328,1.67062,-258.78314,-577.44415,1494.3281
238,-0.00295,17.09856,12,0.08294,3792,-1.17151,0.99524,-117.71213,-1459.5282,1718.0417
239,0.00113,24.8091,12,0.02666,3792,0.4468,0.31987,139.68134,5552.6689,7756.042
240,-0.00536,13.18176,12,0.04443,3792,-2.12976,0.53316,-399.46268,-618.93036,2472.3958
241,-0.01174,12.25883,12,0.01185,3792,-4.6622,0.14214,-3279.9724,-262.94098,8624.3916
242,-0.0026,20.89068,12,0.13181,2800,-0.76302,1.58176,-48.23859,-2737.895,1320.7219
243,0,19.96937,12,0.09923,2800,-0.00018,1.19074,-0.01508,-11122494,1677.0547
244,-0.02084,6.32129,12,0.08738,2800,-6.11074,1.04858,-582.7652,-103.44554,602.8446
245,-0.0204,12.4256,12,0.13922,2800,-5.98112,1.67063,-358.01559,-207.74704,743.76678
246,0.00067,10.8809,12,0.14514,2917,0.20321,1.74172,11.66736,5354.4331,624.72089
247,-0.00016,15.66882,12,0.12885,2917,-0.0499,1.54623,-3.22747,-31397.871,1013.3575
248,-0.00785,24.89168,12,0.13774,2917,-2.39716,1.65288,-145.02934,-1038.3843,1505.9619
249,-0.00412,30.61225,12,0.05628,2398,-1.03415,0.67534,-153.1311,-2960.1257,4532.873
250,-0.00369,35.74182,12,0.0933,2398,-0.92608,1.11966,-82.71159,-3859.4531,3192.2153
251,-0.00009,30.61225,12,0.07405,2071,-0.01864,0.88862,-2.09775,-164220.28,3444.9338
252,-0.017,5.26396,12,0.08886,2071,-3.68656,1.06635,-345.71808,-142.78783,493.64331
253,0.00072,10.76756,12,0.08146,2071,0.15645,0.97747,16.00509,6882.6206,1101.5696
254,0.00077,29.55493,12,0.09479,3546,0.28751,1.13743,25.27702,10279.637,2598.386
255,0.00134,37.30595,12,0.05184,3546,0.49932,0.62203,80.27194,7471.3906,5997.4307
256,0.00356,40.17676,12,-0.05036,1417,0.52876,-0.6043,-87.49963,7598.2998,-6648.4839
257,-0.00013,26.82984,12,-0.0474,1417,-0.01996,-0.56876,3.51023,-134385.7,-4717.2529
258,-0.00011,31.38946,12,-0.05184,0,0,-0.62208,0,#NAME?, NAN
259,-0.00013,40.42449,12,-0.04443,0,0,-0.5332,0,#NAME?, NAN
260,-0.00016,37.5553,12,-0.05184,0,0,-0.62208,0,#NAME?, NAN
261,-0.00016,32.30106,12,-0.05628,0,0,-0.6754,0,#NAME?, NAN
262,-0.00075,23.92827,12,-0.01778,369,-0.02901,-0.2133,13.60096,-82480.133,-11218.091
263,-0.0006,25.80328,12,-0.00444,265,-0.01654,-0.05331,31.02709,-155993.48,-48400.238
264,-0.00018,-6.82971,12,-0.01037,265,-0.00498,-0.12441,3.99937,137264.84,5489.7349
265,0.00236,16.072,12,0.04592,3895,0.96123,0.55098,174.45706,1672.0309,2916.9758
266,-0.00017,15.32717,12,0.06073,232,-0.00425,0.72871,-0.58301,-360772.75,2103.3345
267,-0.00018,31.06724,12,0.05036,240,-0.00445,0.60432,-0.7365,-698012.19,5140.8877
268,-0.00027,29.27481,12,0.0548,233,-0.00665,0.65761,-1.01196,-439906.25,4451.6851
269,-0.00014,22.23784,12,0.06221,231,-0.00336,0.74649,-0.44986,-662211.19,2979.0002
270,-0.00013,28.42474,12,0.05332,232,-0.00308,0.63984,-0.48196,-921748.5,4442.4419
271,-0.00024,28.88135,12,0.0548,237,-0.00594,0.65761,-0.90381,-485933.22,4391.8911
272,-0.00017,20.14586,12,0.05036,232,-0.00406,0.60431,-0.67103,-496809.13,3333.7224
273,-0.00025,12.69438,12,0.05924,242,-0.00622,0.71092,-0.87435,-204221.64,1785.6173
274,-0.00019,3.75164,12,0.05184,241,-0.0049,0.62208,-0.78729,-76601.555,603.07715
275,-0.00015,18.10407,12,0.05036,231,-0.00374,0.6043,-0.61883,-484122.59,2995.8772
276,-0.00018,22.09374,12,0.06221,241,-0.00465,0.74649,-0.62337,-474788.78,2959.6733
277,-0.00019,18.25951,12,0.06369,234,-0.0046,0.76425,-0.60161,-397135.44,2389.1956
